gene*Text	entrezId*Ganzzahl	canonicalSymbol*Text	organismTaxId*Liste	type*Liste	cellCount*Ganzzahl	cellCountOrder*Zahl
Ap3d1	11776	Ap3d1	10090	protein-coding	100	0
Ap3s1	11777	Ap3s1	10090	protein-coding	100	1
Ap3s2	11778	Ap3s2	10090	protein-coding	100	2
Ap4m1	11781	Ap4m1	10090	protein-coding	100	3
Ap4s1	11782	Ap4s1	10090	protein-coding	100	4
Apaf1	11783	Apaf1	10090	protein-coding	100	5
Apba2	11784	Apba2	10090	protein-coding	100	6
Apbb1	11785	Apbb1	10090	protein-coding	100	7
Apbb2	11787	Apbb2	10090	protein-coding	100	8
Apc	11789	Apc	10090	protein-coding	100	9
Speg	11790	Speg	10090	protein-coding	100	10
Apex1	11792	Apex1	10090	protein-coding	100	11
Atg5	11793	Atg5	10090	protein-coding	100	12
Birc3	11796	Birc3	10090	protein-coding	100	13
Birc2	11797	Birc2	10090	protein-coding	100	14
Xiap	11798	Xiap	10090	protein-coding	100	15
Pzp	11287	Pzp	10090	protein-coding	300	279
Api5	11800	Api5	10090	protein-coding	100	16
Cd5l	11801	Cd5l	10090	protein-coding	100	17
Aplp1	11803	Aplp1	10090	protein-coding	100	18
Aplp2	11804	Aplp2	10090	protein-coding	100	19
Apoa1	11806	Apoa1	10090	protein-coding	100	20
Apoa2	11807	Apoa2	10090	protein-coding	100	21
Apoa4	11808	Apoa4	10090	protein-coding	100	22
Aanat	11298	Aanat	10090	protein-coding	300	280
Apobec2	11811	Apobec2	10090	protein-coding	100	23
Apoc1	11812	Apoc1	10090	protein-coding	100	24
Apoc2	11813	Apoc2	10090	protein-coding	100	25
Aatk	11302	Aatk	10090	protein-coding	300	281
Abca1	11303	Abca1	10090	protein-coding	300	282
Abca4	11304	Abca4	10090	protein-coding	300	283
Abca2	11305	Abca2	10090	protein-coding	300	284
Abcb7	11306	Abcb7	10090	protein-coding	300	285
Abcg1	11307	Abcg1	10090	protein-coding	300	286
Abi1	11308	Abi1	10090	protein-coding	300	287
Aprt	11821	Aprt	10090	protein-coding	100	26
Aqp1	11826	Aqp1	10090	protein-coding	100	27
Aqp2	11827	Aqp2	10090	protein-coding	100	28
Aqp3	11828	Aqp3	10090	protein-coding	100	29
Aqp4	11829	Aqp4	10090	protein-coding	100	30
Aqp5	11830	Aqp5	10090	protein-coding	100	31
Aqp6	11831	Aqp6	10090	protein-coding	100	32
Aqp7	11832	Aqp7	10090	protein-coding	100	33
Apod	11815	Apod	10090	protein-coding	100	34
Aqr	11834	Aqr	10090	protein-coding	100	35
Ar	11835	Ar	10090	protein-coding	100	36
Araf	11836	Araf	10090	protein-coding	100	37
Rplp0	11837	Rplp0	10090	protein-coding	100	38
Arc	11838	Arc	10090	protein-coding	100	39
Areg	11839	Areg	10090	protein-coding	100	40
Arf1	11840	Arf1	10090	protein-coding	100	41
Arf2	11841	Arf2	10090	protein-coding	100	42
Arf3	11842	Arf3	10090	protein-coding	100	43
Arf4	11843	Arf4	10090	protein-coding	100	44
Arf5	11844	Arf5	10090	protein-coding	100	45
Arf6	11845	Arf6	10090	protein-coding	100	46
Arg1	11846	Arg1	10090	protein-coding	100	47
Arg2	11847	Arg2	10090	protein-coding	100	48
Rhoa	11848	Rhoa	10090	protein-coding	100	49
Rhoay-ps1	11849	Rhoay-ps1	10090	pseudo	100	50
Rhoay-ps2	11850	Rhoay-ps2	10090	pseudo	100	51
Rhoay-ps3	11851	Rhoay-ps3	10090	pseudo	100	52
Rhob	11852	Rhob	10090	protein-coding	300	288
Rhoc	11853	Rhoc	10090	protein-coding	300	289
Rhod	11854	Rhod	10090	protein-coding	300	290
Arhgap5	11855	Arhgap5	10090	protein-coding	300	291
Arhgap6	11856	Arhgap6	10090	protein-coding	300	292
Arhgdib	11857	Arhgdib	10090	protein-coding	300	293
Rnd2	11858	Rnd2	10090	protein-coding	300	294
Phox2a	11859	Phox2a	10090	protein-coding	300	295
Arl4a	11861	Arl4a	10090	protein-coding	300	296
Abl1	11350	Abl1	10090	protein-coding	300	297
Arnt	11863	Arnt	10090	protein-coding	300	298
Abl2	11352	Abl2	10090	protein-coding	100	53
Scgb1b27	11354	Scgb1b27	10090	protein-coding	100	54
ac	11358	ac	10090	unknown	100	55
Acadl	11363	Acadl	10090	protein-coding	100	56
Acadm	11364	Acadm	10090	protein-coding	100	57
Apoh	11818	Apoh	10090	protein-coding	100	58
Atp1b3	11933	Atp1b3	10090	protein-coding	300	299
Acadvl	11370	Acadvl	10090	protein-coding	100	59
Birc5	11799	Birc5	10090	protein-coding	100	60
Acads	11409	Acads	10090	protein-coding	100	61
Slc33a1	11416	Slc33a1	10090	protein-coding	100	62
Asic2	11418	Asic2	10090	protein-coding	100	63
Asic1	11419	Asic1	10090	protein-coding	100	64
Ace	11421	Ace	10090	protein-coding	100	65
Ache	11423	Ache	10090	protein-coding	100	66
Apoc4	11425	Apoc4	10090	protein-coding	100	67
Macf1	11426	Macf1	10090	protein-coding	100	68
Aco1	11428	Aco1	10090	protein-coding	100	69
Aco2	11429	Aco2	10090	protein-coding	100	70
Acox1	11430	Acox1	10090	protein-coding	100	71
Acp1	11431	Acp1	10090	protein-coding	100	72
Acp2	11432	Acp2	10090	protein-coding	100	73
Acp5	11433	Acp5	10090	protein-coding	100	74
Acr	11434	Acr	10090	protein-coding	100	75
Chrna1	11435	Chrna1	10090	protein-coding	100	76
Chrna4	11438	Chrna4	10090	protein-coding	100	77
Chrna6	11440	Chrna6	10090	protein-coding	100	78
Chrna7	11441	Chrna7	10090	protein-coding	100	79
Chrnb1	11443	Chrnb1	10090	protein-coding	100	80
Chrnb2	11444	Chrnb2	10090	protein-coding	100	81
Chrnd	11447	Chrnd	10090	protein-coding	100	82
