gene	entrezId	canonicalSymbol	organismTaxId
Ap3d1	11776	Ap3d1	10090
Ap3s1	11777	Ap3s1	10090
Ap3s2	11778	Ap3s2	10090
Ap4m1	11781	Ap4m1	10090
Ap4s1	11782	Ap4s1	10090
Apaf1	11783	Apaf1	10090
Apba2	11784	Apba2	10090
Apbb1	11785	Apbb1	10090
Apbb2	11787	Apbb2	10090
Apc	11789	Apc	10090
Speg	11790	Speg	10090
Apex1	11792	Apex1	10090
Atg5	11793	Atg5	10090
Birc3	11796	Birc3	10090
Birc2	11797	Birc2	10090
Xiap	11798	Xiap	10090
Pzp	11287	Pzp	10090
Api5	11800	Api5	10090
Cd5l	11801	Cd5l	10090
Aplp1	11803	Aplp1	10090
Aplp2	11804	Aplp2	10090
Apoa1	11806	Apoa1	10090
Apoa2	11807	Apoa2	10090
Apoa4	11808	Apoa4	10090
Aanat	11298	Aanat	10090
Apobec2	11811	Apobec2	10090
Apoc1	11812	Apoc1	10090
Apoc2	11813	Apoc2	10090
Aatk	11302	Aatk	10090
Abca1	11303	Abca1	10090
Abca4	11304	Abca4	10090
Abca2	11305	Abca2	10090
Abcb7	11306	Abcb7	10090
Abcg1	11307	Abcg1	10090
Abi1	11308	Abi1	10090
Aprt	11821	Aprt	10090
Aqp1	11826	Aqp1	10090
Aqp2	11827	Aqp2	10090
Aqp3	11828	Aqp3	10090
Aqp4	11829	Aqp4	10090
Aqp5	11830	Aqp5	10090
Aqp6	11831	Aqp6	10090
Aqp7	11832	Aqp7	10090
Apod	11815	Apod	10090
Aqr	11834	Aqr	10090
Ar	11835	Ar	10090
Araf	11836	Araf	10090
Rplp0	11837	Rplp0	10090
Arc	11838	Arc	10090
Areg	11839	Areg	10090
Arf1	11840	Arf1	10090
Arf2	11841	Arf2	10090
Arf3	11842	Arf3	10090
Arf4	11843	Arf4	10090
Arf5	11844	Arf5	10090
Arf6	11845	Arf6	10090
Arg1	11846	Arg1	10090
Arg2	11847	Arg2	10090
Rhoa	11848	Rhoa	10090
Rhoay-ps1	11849	Rhoay-ps1	10090
Rhoay-ps2	11850	Rhoay-ps2	10090
Rhoay-ps3	11851	Rhoay-ps3	10090
Rhob	11852	Rhob	10090
Rhoc	11853	Rhoc	10090
Rhod	11854	Rhod	10090
Arhgap5	11855	Arhgap5	10090
Arhgap6	11856	Arhgap6	10090
Arhgdib	11857	Arhgdib	10090
Rnd2	11858	Rnd2	10090
Phox2a	11859	Phox2a	10090
Arl4a	11861	Arl4a	10090
Abl1	11350	Abl1	10090
Arnt	11863	Arnt	10090
Abl2	11352	Abl2	10090
