gene	entrez	symbol
Ap3d1	11776	Ap3d1
Ap3s1	11777	Ap3s1
Ap3s2	11778	Ap3s2
Ap4m1	11781	Ap4m1
Ap4s1	11782	Ap4s1
Apaf1	11783	Apaf1
Apba2	11784	Apba2
Apbb1	11785	Apbb1
Apbb2	11787	Apbb2
Apc	11789	Apc
Speg	11790	Speg
Apex1	11792	Apex1
Atg5	11793	Atg5
Birc3	11796	Birc3
Birc2	11797	Birc2
Xiap	11798	Xiap
Pzp	11287	Pzp
Api5	11800	Api5
Cd5l	11801	Cd5l
Aplp1	11803	Aplp1
Aplp2	11804	Aplp2
Apoa1	11806	Apoa1
Apoa2	11807	Apoa2
Apoa4	11808	Apoa4
Aanat	11298	Aanat
Apobec2	11811	Apobec2
Apoc1	11812	Apoc1
Apoc2	11813	Apoc2
Aatk	11302	Aatk
Abca1	11303	Abca1
Abca4	11304	Abca4
Abca2	11305	Abca2
Abcb7	11306	Abcb7
Abcg1	11307	Abcg1
Abi1	11308	Abi1
Aprt	11821	Aprt
Aqp1	11826	Aqp1
Aqp2	11827	Aqp2
Aqp3	11828	Aqp3
Aqp4	11829	Aqp4
Aqp5	11830	Aqp5
Aqp6	11831	Aqp6
Aqp7	11832	Aqp7
Apod	11815	Apod
Aqr	11834	Aqr
Ar	11835	Ar
Araf	11836	Araf
Rplp0	11837	Rplp0
Arc	11838	Arc
Areg	11839	Areg
Arf1	11840	Arf1
Arf2	11841	Arf2
Arf3	11842	Arf3
Arf4	11843	Arf4
Arf5	11844	Arf5
Arf6	11845	Arf6
Arg1	11846	Arg1
Arg2	11847	Arg2
Rhoa	11848	Rhoa
Rhoay-ps1	11849	Rhoay-ps1
Rhoay-ps2	11850	Rhoay-ps2
Rhoay-ps3	11851	Rhoay-ps3
Rhob	11852	Rhob
Rhoc	11853	Rhoc
Rhod	11854	Rhod
Arhgap5	11855	Arhgap5
Arhgap6	11856	Arhgap6
Arhgdib	11857	Arhgdib
Rnd2	11858	Rnd2
Phox2a	11859	Phox2a
Arl4a	11861	Arl4a
Abl1	11350	Abl1
Arnt	11863	Arnt
Abl2	11352	Abl2
Scgb1b27	11354	Scgb1b27
ac	11358	ac
Acadl	11363	Acadl
Acadm	11364	Acadm
Apoh	11818	Apoh
Atp1b3	11933	Atp1b3
Acadvl	11370	Acadvl
Birc5	11799	Birc5
Acads	11409	Acads
Slc33a1	11416	Slc33a1
Asic2	11418	Asic2
Asic1	11419	Asic1
Ace	11421	Ace
Ache	11423	Ache
Apoc4	11425	Apoc4
Macf1	11426	Macf1
Aco1	11428	Aco1
Aco2	11429	Aco2
Acox1	11430	Acox1
Acp1	11431	Acp1
Acp2	11432	Acp2
Acp5	11433	Acp5
Acr	11434	Acr
Chrna1	11435	Chrna1
Chrna4	11438	Chrna4
Chrna6	11440	Chrna6
Chrna7	11441	Chrna7
Chrnb1	11443	Chrnb1
Chrnb2	11444	Chrnb2
Chrnd	11447	Chrnd
Chrne	11448	Chrne
Chrng	11449	Chrng
Adipoq	11450	Adipoq
Acrv1	11451	Acrv1
act	11452	act
Acta1	11459	Acta1
Actb	11461	Actb
Actc1	11464	Actc1
Actg1	11465	Actg1
Actg2	11468	Actg2
Apobec1	11810	Apobec1
Actl7a	11470	Actl7a
Actl7b	11471	Actl7b
Actn2	11472	Actn2
Actn3	11474	Actn3
Acta2	11475	Acta2
Acvr1	11477	Acvr1
Acvr1b	11479	Acvr1b
Acvr2a	11480	Acvr2a
Acvr2b	11481	Acvr2b
Acvrl1	11482	Acvrl1
Aspa	11484	Aspa
Ada	11486	Ada
Adam10	11487	Adam10
Adam11	11488	Adam11
Adam12	11489	Adam12
Adam15	11490	Adam15
Adam17	11491	Adam17
Adam19	11492	Adam19
Apoc3	11814	Apoc3
Adam2	11495	Adam2
Adam22	11496	Adam22
Adam3	11497	Adam3
Adam4	11498	Adam4
Adam5	11499	Adam5
Adam7	11500	Adam7
Adam8	11501	Adam8
Adam9	11502	Adam9
Adamts1	11504	Adamts1
Apoe	11816	Apoe
Adcy6	11512	Adcy6
Adcy7	11513	Adcy7
Adcy8	11514	Adcy8
Adcy9	11515	Adcy9
Adcyap1	11516	Adcyap1
Adcyap1r1	11517	Adcyap1r1
Add1	11518	Add1
Add2	11519	Add2
Plin2^11520	11520	Plin2^11520
Adh1	11522	Adh1
Nr2f2	11819	Nr2f2
Adh7	11529	Adh7
Adh5	11532	Adh5
Adh5-ps1	11533	Adh5-ps1
Adk	11534	Adk
Adm	11535	Adm
Gpr182	11536	Gpr182
Cfd	11537	Cfd
Adnp	11538	Adnp
Adora1	11539	Adora1
Adora2a	11540	Adora2a
Adora2b	11541	Adora2b
Adora3	11542	Adora3
Adprh	11544	Adprh
Parp1	11545	Parp1
Parp2	11546	Parp2
Adra1b	11548	Adra1b
Adra1a	11549	Adra1a
Adra1d	11550	Adra1d
Adra2a	11551	Adra2a
Adra2b	11552	Adra2b
Adra2c	11553	Adra2c
Adrb1	11554	Adrb1
Adrb2	11555	Adrb2
Adrb3	11556	Adrb3
App	11820	App
Adsl	11564	Adsl
Adssl1	11565	Adssl1
Adss	11566	Adss
Avil	11567	Avil
Aebp1	11568	Aebp1
Aebp2	11569	Aebp2
Crisp1	11571	Crisp1
Crisp3	11572	Crisp3
Afp	11576	Afp
ag	11592	ag
Aga	11593	Aga
Acan	11595	Acan
Ager	11596	Ager
Angpt1	11600	Angpt1
Angpt2	11601	Angpt2
Angpt4	11602	Angpt4
Agrn	11603	Agrn
Agrp	11604	Agrp
Gla	11605	Gla
Agt	11606	Agt
Agtr1a	11607	Agtr1a
Agtr1b	11608	Agtr1b
Agtr2	11609	Agtr2
Agtrap	11610	Agtrap
Agxt	11611	Agxt
Nr0b1	11614	Nr0b1
Gm4737	11615	Gm4737
Ahr	11622	Ahr
Ahrr	11624	Ahrr
Ahsg	11625	Ahsg
Aicda	11628	Aicda
Aif1	11629	Aif1
Aim1	11630	Aim1
Aip	11632	Aip
Aire	11634	Aire
Ak1	11636	Ak1
Ak2	11637	Ak2
Ak4	11639	Ak4
Akap1	11640	Akap1
Akap2	11641	Akap2
Akap3	11642	Akap3
Akap4	11643	Akap4
Alpl	11647	Alpl
Akp3	11648	Akp3
Alppl2	11650	Alppl2
Akt1	11651	Akt1
Akt2	11652	Akt2
Alas1	11655	Alas1
Alas2	11656	Alas2
Alb	11657	Alb
Alcam	11658	Alcam
Abcd1	11666	Abcd1
Aldh1a1	11668	Aldh1a1
Aldh2	11669	Aldh2
Aldh3a1	11670	Aldh3a1
Aldh3a2	11671	Aldh3a2
Aldoa	11674	Aldoa
Aldoc	11676	Aldoc
Akr1b3	11677	Akr1b3
Alk	11682	Alk
Alox12	11684	Alox12
Alox12e	11685	Alox12e
Alox12b	11686	Alox12b
Alox15	11687	Alox15
Alox8	11688	Alox8
Alox5	11689	Alox5
Alox5ap	11690	Alox5ap
alp	11691	alp
Gfer	11692	Gfer
Alx3	11694	Alx3
Alx4	11695	Alx4
am	11697	am
Ambn	11698	Ambn
Ambp	11699	Ambp
amd	11700	amd
Amd-ps1	11701	Amd-ps1
Amd1	11702	Amd1
Amelx	11704	Amelx
Amh	11705	Amh
Ampd3	11717	Ampd3
Mat1a	11720	Mat1a
Amy1	11722	Amy1
Ang	11727	Ang
Ang-ps1	11728	Ang-ps1
Ang3	11730	Ang3
Ang2	11731	Ang2
Ank	11732	Ank
Ank1	11733	Ank1
Ank3	11735	Ank3
Ankfy1	11736	Ankfy1
Anp32a	11737	Anp32a
Aqp8	11833	Aqp8
Slc25a4	11739	Slc25a4
Slc25a5	11740	Slc25a5
anx	11743	anx
Anxa11	11744	Anxa11
Anxa3	11745	Anxa3
Anxa4	11746	Anxa4
Anxa5	11747	Anxa5
Anxa6	11749	Anxa6
Anxa7	11750	Anxa7
Anxa8	11752	Anxa8
ao	11753	ao
Aoc3	11754	Aoc3
Prdx3	11757	Prdx3
Prdx6	11758	Prdx6
Aox1	11761	Aox1
ap	11763	ap
Ap1b1	11764	Ap1b1
Ap1g1	11765	Ap1g1
Ap1g2	11766	Ap1g2
Ap1m1	11767	Ap1m1
Ap1m2	11768	Ap1m2
Ap1s1	11769	Ap1s1
Fabp4	11770	Fabp4
Ap2a1	11771	Ap2a1
Ap2a2	11772	Ap2a2
Ap2m1	11773	Ap2m1
Ap3b1	11774	Ap3b1
Ap3b2	11775	Ap3b2
