cellId*Ganzzahl	entrezId*Ganzzahl	expressionValue*Zahl
0	11287	2.0
0	11298	2.0
0	11302	5.0
0	11303	2.0
0	11304	4.0
0	11305	3.0
0	11306	5.0
0	11307	2.0
0	11308	4.0
0	11350	2.0
0	11352	8.0
0	11354	8.0
0	11358	8.0
0	11363	8.0
0	11364	8.0
0	11370	8.0
0	11409	8.0
0	11416	8.0
0	11418	8.0
0	11419	8.0
0	11421	8.0
0	11423	8.0
0	11425	8.0
0	11426	8.0
0	11428	8.0
0	11429	8.0
0	11430	8.0
0	11431	8.0
0	11432	8.0
0	11433	8.0
0	11434	8.0
0	11435	8.0
0	11438	8.0
0	11440	8.0
0	11441	8.0
0	11443	8.0
0	11444	8.0
0	11447	8.0
0	11448	8.0
0	11449	8.0
0	11450	8.0
0	11451	8.0
0	11452	8.0
0	11459	8.0
0	11461	8.0
0	11464	8.0
0	11465	8.0
0	11468	8.0
0	11470	8.0
0	11471	8.0
0	11472	8.0
0	11474	8.0
0	11475	8.0
0	11477	8.0
0	11479	8.0
0	11480	8.0
0	11481	8.0
0	11482	8.0
0	11484	8.0
0	11486	8.0
0	11487	8.0
0	11488	8.0
0	11489	8.0
0	11490	8.0
0	11491	8.0
0	11492	8.0
0	11495	8.0
0	11496	8.0
0	11497	8.0
0	11498	8.0
0	11499	8.0
0	11500	8.0
0	11501	8.0
0	11502	8.0
0	11504	8.0
0	11512	8.0
0	11513	8.0
0	11514	8.0
0	11515	8.0
0	11516	8.0
0	11517	8.0
0	11518	8.0
0	11519	8.0
0	11520	8.0
0	11522	8.0
0	11529	8.0
0	11532	8.0
0	11533	8.0
0	11534	8.0
0	11535	8.0
0	11536	8.0
0	11537	8.0
0	11538	8.0
0	11539	8.0
0	11540	8.0
0	11541	8.0
0	11542	8.0
0	11544	8.0
0	11545	8.0
0	11546	8.0
0	11548	8.0
0	11852	2.0
0	11853	2.0
0	11854	2.0
0	11855	4.0
0	11856	5.0
0	11857	4.0
0	11858	2.0
0	11859	5.0
0	11861	4.0
0	11863	4.0
0	11933	4.0
1	11287	2.0
1	11298	5.0
1	11302	3.0
1	11303	4.0
1	11304	4.0
1	11305	4.0
1	11306	3.0
1	11307	5.0
1	11308	3.0
1	11350	3.0
1	11548	8.0
1	11549	8.0
1	11550	8.0
1	11551	8.0
1	11552	8.0
1	11553	8.0
1	11554	8.0
1	11555	8.0
1	11556	8.0
1	11564	8.0
1	11565	8.0
1	11566	8.0
1	11567	8.0
1	11568	8.0
1	11569	8.0
1	11571	8.0
1	11572	8.0
1	11576	8.0
1	11592	8.0
1	11593	8.0
1	11595	8.0
1	11596	8.0
1	11600	8.0
1	11601	8.0
1	11602	8.0
1	11603	8.0
1	11604	8.0
1	11605	8.0
1	11606	8.0
1	11607	8.0
1	11608	8.0
1	11609	8.0
1	11610	8.0
1	11611	8.0
1	11614	8.0
1	11615	8.0
1	11622	8.0
1	11624	8.0
1	11625	8.0
1	11628	8.0
1	11629	8.0
1	11630	8.0
1	11632	8.0
1	11634	8.0
1	11636	8.0
1	11637	8.0
1	11639	8.0
1	11640	8.0
1	11641	8.0
1	11642	8.0
